trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250324,000422.SZ,湖北宜化,14.74,10.0,10.54,1605044117.0,242298090.42,239831402.87,482129493.29,-2466687.55,-0.15,30.04,15592225395.34,日涨幅偏离值达到7%的前5只证券
20250324,000541.SZ,佛山照明,8.57,10.0128,16.46,1574203698.0,122677637.34,163969478.07,286647115.41,41291840.73,2.62,18.21,10937493201.33,日涨幅偏离值达到7%的前5只证券
20250324,000541.SZ,佛山照明,8.57,10.0128,16.46,3810362493.0,294551172.33,276105064.52,570656236.85,-18446107.81,-0.48,14.98,10937493201.33,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,000555.SZ,神州信息,14.36,-10.0251,14.58,2136489255.0,341187638.0,245678360.91,586865998.91,-95509277.09,-4.47,27.47,13962081341.32,日跌幅偏离值达到7%的前5只证券
20250324,000601.SZ,韶能股份,5.96,9.9631,14.17,874145420.0,51432496.86,206178198.02,257610694.88,154745701.16,17.7,29.47,6439541909.92,日振幅值达到15%的前5只证券
20250324,000737.SZ,北方铜业,11.17,10.0493,13.0,2498960391.0,231402532.99,274541116.49,505943649.48,43138583.5,1.73,20.25,19796246874.64,日涨幅偏离值达到7%的前5只证券
20250324,000779.SZ,甘咨询,11.21,-6.3492,22.85,1300183686.0,125371922.0,81522459.09,206894381.09,-43849462.91,-3.37,15.91,5210283569.0,日振幅值达到15%的前5只证券
20250324,000852.SZ,石化机械,8.78,5.9107,22.07,3442076174.0,244106666.73,182203449.04,426310115.77,-61903217.69,-1.8,12.39,8261992107.62,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,001202.SZ,炬申股份,20.3,10.0271,1.32,168342389.0,30561752.3,62993927.3,93555679.6,32432175.0,19.27,55.57,1835945195.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,001318.SZ,阳光乳业,15.2,-3.8583,54.13,624732001.0,83086860.82,86832386.84,169919247.66,3745526.02,0.6,27.2,1171312000.0,日换手率达到20%的前5只证券
20250324,002093.SZ,国脉科技,12.86,-10.007,10.0,1314446026.0,142810041.0,144196665.42,287006706.42,1386624.42,0.11,21.83,12948299975.0,日跌幅偏离值达到7%的前5只证券
20250324,002115.SZ,三维通信,9.5,1.2793,45.51,3309680970.0,343599637.0,278320960.9,621920597.9,-65278676.1,-1.97,18.79,7145857554.0,日换手率达到20%的前5只证券
20250324,002165.SZ,红宝丽,5.49,0.1825,38.89,1604393597.0,166033667.0,70877922.83,236911589.83,-95155744.17,-5.93,14.77,3994685933.04,日换手率达到20%的前5只证券
20250324,002204.SZ,大连重工,7.7,10.0,18.4,2732511101.0,405702299.94,192765726.2,598468026.14,-212936573.74,-7.79,21.9,14871549246.4,日涨幅偏离值达到7%的前5只证券
20250324,002204.SZ,大连重工,7.7,10.0,18.4,2893744446.0,438737322.94,192765726.2,631503049.14,-245971596.74,-8.5,21.82,14871549246.4,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,002278.SZ,神开股份,10.6,-6.1116,50.67,1815375486.0,156366373.36,120554177.66,276920551.02,-35812195.7,-1.97,15.25,3542589122.6,日换手率达到20%的前5只证券
20250324,002300.SZ,太阳电缆,6.96,9.9526,1.25,222042849.0,16267258.32,68757204.0,85024462.32,52489945.68,23.64,38.29,5027034410.64,连续三个交易日内，涨幅偏离值累计达到20%的证券
