ts_code,ann_date,end_date,name,title,reward,hold_vol
600030.SH,20250327,20241231,杨冰,执行委员,1472100.0,0.0
600030.SH,20250327,20241231,李勇进,执行委员,1471300.0,0.0
600030.SH,20250327,20241231,李春波,执行委员,1925500.0,0.0
600030.SH,20250327,20241231,高愈湘,高级管理层成员,1472100.0,0.0
600030.SH,20250327,20241231,杨明辉,"原执行董事,原总经理,原执行委员",854800.0,0.0
600030.SH,20250327,20241231,叶新江,原高级管理层成员,782100.0,0.0
600030.SH,20250327,20241231,张国明,"原合规总监,原首席风险官",892900.0,0.0
600030.SH,20250327,20241231,马尧,原执行委员,1093800.0,23000.0
600030.SH,20250327,20241231,方兴,原首席信息官,1352000.0,0.0
600030.SH,20250327,20241231,邹迎光,"执行董事,总经理,执行委员",240000.0,0.0
600030.SH,20250327,20241231,张麟,非执行董事,,0.0
600030.SH,20250327,20241231,付临芳,非执行董事,,0.0
600030.SH,20250327,20241231,赵先信,非执行董事,,0.0
600030.SH,20250327,20241231,王恕慧,非执行董事,,0.0
600030.SH,20250327,20241231,李青,独立非执行董事,305000.0,0.0
600030.SH,20250327,20241231,史青春,独立非执行董事,305000.0,0.0
600030.SH,20250327,20241231,张健华,独立非执行董事,310000.0,0.0
600030.SH,20250327,20241231,张长义,"监事,监事会主席",1462500.0,0.0
600030.SH,20250327,20241231,郭昭,监事,220000.0,0.0
600030.SH,20250327,20241231,饶戈平,监事,215000.0,0.0
600030.SH,20250327,20241231,牛学坤,职工监事,823400.0,0.0
600030.SH,20250327,20241231,杨利强,职工监事,966900.0,0.0
600030.SH,20250327,20241231,史本良,执行委员,1462500.0,0.0
600030.SH,20250327,20241231,张皓,"财务负责人,执行委员",1462500.0,0.0
600030.SH,20250327,20241231,朱烨辛,执行委员,907300.0,0.0
600030.SH,20250327,20241231,王俊锋,董事会秘书,1352000.0,0.0
600030.SH,20250327,20241231,李冏,总司库,1472100.0,0.0
600030.SH,20250327,20241231,仲飞,合规总监,189900.0,0.0
600030.SH,20250327,20241231,杨海成,首席风险官,499100.0,0.0
600030.SH,20250327,20241231,于新利,首席信息官,,0.0
600030.SH,20250327,20241231,孙毅,高级管理层成员,1472100.0,0.0
600030.SH,20250327,20241231,张佑君,"执行董事,董事长",2303300.0,430.0
600030.SH,20250327,20241231,薛继锐,执行委员,1472100.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,薛继锐,执行委员,5464500.0,0.0
600030.SH,20240327,20231231,史青春,独立非执行董事,310000.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,杨冰,执行委员,4663700.0,0.0
600030.SH,20240327,20231231,张健华,独立非执行董事,315000.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,李勇进,执行委员,4964900.0,0.0
600030.SH,20240327,20231231,张长义,"监事,监事会主席",4855300.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,李春波,执行委员,5895100.0,0.0
600030.SH,20240327,20231231,郭昭,监事,210000.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,高愈湘,高级管理层成员,4764900.0,0.0
600030.SH,20240327,20231231,饶戈平,监事,215000.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,邹迎光,原执行委员,4766400.0,0.0
600030.SH,20240327,20231231,牛学坤,职工监事,2164100.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,杨利强,职工监事,3509800.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,张佑君,"执行董事,董事长",5047200.0,430.0
600030.SH,20240327,20231231,史本良,执行委员,4789900.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,杨明辉,"执行董事,总经理,执行委员",5289400.0,0.0
600030.SH,20240327,20231231,张皓,"财务负责人,执行委员",5268600.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,张麟,非执行董事,,0.0
600030.SH,20240327,20231231,王俊锋,董事会秘书,4639600.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,付临芳,非执行董事,,0.0
600030.SH,20240327,20231231,李冏,总司库,5013700.0,0.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,马尧,执行委员,5464900.0,23000.0
600030.SH,20240327,20231231,赵先信,非执行董事,,0.0
600030.SH,20240327,20231231,张国明,"合规总监,首席风险官",4739600.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,孙毅,高级管理层成员,4067200.0,0.0
600030.SH,20240327,20231231,王恕慧,非执行董事,,0.0
600030.SH,20240327,20231231,方兴,首席信息官,4342900.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,叶新江,高级管理层成员,3563900.0,0.0
600030.SH,20240327,20231231,李青,独立非执行董事,305000.0,0.0
